Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,flex-conector_10,flex_short_10,160.5,-128.0,-90.0,top
C2,flex-conector_10,flex_short_10,73.25,-118.0,0.0,top
C3,flex-conector_8_1,flex_long_8,158.5,-119.75,90.0,top
C4,flex-conector_14,flex_long_14,110.075,-93.25,90.0,top
C5,flex-conector_10,flex_long_10,68.5,-105.0,270.0,bottom
C6,PSP-analog,PSP-analog,50.124507,-61.501014,-90.0,top
C7,flex-conector_10,flex_long_10,142.000915,-69.751014,-90.0,top
C8,flex-conector_10,flex_short_10,89.5,-116.75,90.0,top
CIRCLE1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,167.47512,-94.250127,90.0,top
CROSS1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,157.72512,-104.25,90.0,top
DOWN1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,49.499873,-117.72512,0.0,top
L1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,47.81985,-81.72512,0.0,top
LEFT1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,41.999873,-110.274879,180.0,top
P1,5034801000,FPC-SMD_5034801000,95.17507,-116.750572,-90.0,top
R1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,156.675082,-65.819977,90.0,top
RIGHT1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,56.999873,-110.22512,0.0,top
SQUARE1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,147.97512,-94.5,90.0,top
TRIANGLE1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,157.47512,-84.500127,90.0,top
UP1,K2-1187SQ-E4SW-06,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4_1,49.499873,-102.72512,0.0,top
