Comment,Designator,Footprint,LCSC
MCP23008-E/ML,"U1,U4",QFN-20_L4.0-W4.0-P0.50-BL-EP2.7,C144211
CL21A106KAYNNNE,"C13,C6,C9",C0805,C15850
0805W8F1002T5E,"R2,R3",R0805,C17414
0805W8F1001T5E,"R1,R10",R0805,C17513
0805W8F4701T5E,"R4,R5",R0805,C17673
1N5819WS,"D1,D10,D11,D12,D13,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D4,D5,D6,D7,D8,D9",SOD-323_L1.8-W1.3-LS2.5-RD,C191023
SS8050_C2150,"U3,U8",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C2150
TC1109DE26048,"U14,U15",SW-TH_3P-L4.5-W4.5-P1.8-LS3.0,C22459542
0402WGF1002TCE,R7,R0402,C25744
0805W8F3301T5E,R9,R0805,C26010
CL21B105KBFNNNE,C5,C0805,C28323
TS-1187A-B-A-B,BOOT1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884
MICROXNJ,USB1,MICRO-USB-SMD_MICROXNJ,C404969
CL21A226MAQNNNE,"C1,C11",C0805,C45783
AFC42-S14FMA-1H,U13,CONN-SMD_14P-P0.50_L3.1-W9.0,C466533
CC0805KRX7R9BB104,"C10,C12,C2,C4,C8",C0805,C49678
IPFP051A30472R5,U7,FPC-SMD_4P-P0.50_C9900013912,C5127055
HC-FPC-05-09-10RLTAG,"U10,U11,U6",FPC-SMD_10P-P0.50_HC-FPC-05-09-10RLTAG,C5213750
MCP42010T-I/SL,U5,SOIC-14_L10.0-W5.5-P1.27-LS7.8-BL,C54781
AMS1117-3_3,U9,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186
ESP32-WROOM-32E(4MB),U12,WIFI-SMD_ESP32-WROOM-32E,C701341
CH340C_C7464026,U2,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,C7464026
FC-2012HRK-620D,LED1,LED0805-R-RD,C84256
